STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
1994,Kentucky,Representative,1st district,,Democratic,94565
1994,Kentucky,Representative,1st district,,Republican,52118
1994,Kentucky,Representative,2nd district,,Democratic,88329
1994,Kentucky,Representative,2nd district,,Republican,48361
1994,Kentucky,Representative,3rd district,,Democratic,82572
1994,Kentucky,Representative,3rd district,,Republican,72948
1994,Kentucky,Representative,4th district,,Democratic,71673
1994,Kentucky,Representative,4th district,,Republican,102595
1994,Kentucky,Representative,5th district,,Democratic,112671
1994,Kentucky,Representative,5th district,,Republican,48099
1994,Kentucky,Representative,6th district,,Democratic,117661
1994,Kentucky,Representative,6th district,,Republican,86593
34th,1855-1857,42,15,5,83,108
35th,1857-1859,36,20,4,131,92
36th,1859-1861,38,26,2,101,113
37th,1861-1863,11,31,7,42,106
38th,1863-1865,9,36,0,46,102
39th,1865-1867,10,42,0,46,145
40th,1867-1869,11,42,0,49,143
41st,1869-1871,17,57,0,73,170
42nd,1871-1873,17,56,0,104,136
43rd,1873-1875,19,54,0,88,203
44th,1875-1877,29,46,1,181,107
45th,1877-1879,36,39,1,156,137
46th,1879-1881,43,33,0,150,128
47th,1881-1883,37,37,2,130,152
48th,1883-1885,36,40,0,200,119
49th,1885-1887,34,41,1,183,140
50th,1887-1889,37,38,0,170,151
51st,1889-1891,37,47,0,156,173
52nd,1891-1893,39,47,2,231,88
53rd,1893-1895,44,38,3,220,126
54th,1895-1897,39,44,5,104,246
55th,1897-1899,34,46,10,124,206
56th,1899-1901,26,53,11,163,185
57th,1901-1903,29,56,3,153,198
58th,1903-1905,32,58,0,178,207
59th,1905-1907,32,58,0,136,250
60th,1907-1909,29,61,2,164,223
61st,1909-1911,32,59,1,172,219
62nd,1911-1913,42,49,1,228,162
63rd,1913-1915,51,44,1,290,127
64th,1915-1917,56,39,1,231,193
65th,1917-1919,53,42,1,1216,216
66th,1919-1921,47,49,0,191,237
67th,1921-1923,37,59,0,132,300
68th,1923-1925,43,51,2,207,225
69th,1925-1927,40,54,1,183,247
70th,1927-1929,47,48,1,195,237
71st,1929-1931,39,56,1,163,267
72nd,1931-1933,47,48,1,1216,218
73rd,1933-1935,59,36,1,313,117
74th,1935-1937,69,25,2,322,103
75th,1937-1939,75,17,4,333,89
76th,1939-1941,69,23,4,262,169
77th,1941-1943,66,28,2,267,162
78th,1943-1945,57,38,1,222,209
79th,1945-1947,57,38,1,243,190
80th,1947-1949,45,51,0,188,246
81st,1949-1951,54,42,0,263,171
82nd,1951-1953,49,47,0,235,199
83rd,1953-1955,46,48,2,213,221
84th,1955-1957,48,47,1,232,203
85th,1957-1959,49,47,0,234,201
86th,1959-1961,64,34,0,283,153
87th,1961-1963,64,36,0,262,175
88th,1963-1965,67,33,0,258,176
89th,1965-1967,68,32,0,295,140
90th,1967-1969,64,36,0,248,187
91st,1969-1971,58,42,0,243,192
92nd,1971-1973,54,44,2,255,180
93rd,1973-1975,56,42,2,242,192
94th,1975-1977,60,37,3,291,144
95th,1977-1979,61,38,1,292,143
96th,1979-1981,58,41,1,277,158
97th,1981-1983,46,53,1,243,192
ALABAMA,1980,HOUSE,1,Jack Edwards,Republican,111089
ALABAMA,1980,HOUSE,1,Steve Smith,Libertarian,6130
ALABAMA,1980,HOUSE,1,,Write-in,2
ALABAMA,1980,HOUSE,2,Cecil Wyatt,Democratic,63447
ALABAMA,1980,HOUSE,2,Bill Dickinson,Republican,104796
ALABAMA,1980,HOUSE,2,Adam Hand,Libertarian,4103
ALABAMA,1980,HOUSE,2,Jerome Couch,Statesman,616
ALABAMA,1980,HOUSE,3,Bill Nichols,Democratic,107654
ALABAMA,1980,HOUSE,3,,Write-in,1561
ALABAMA,1980,HOUSE,4,Tom Bevill,Democratic,129365
ALABAMA,1980,HOUSE,4,A.J. Killingsworth,Statesman,2721
ALABAMA,1980,HOUSE,5,Ronnie Flippo,Democratic,117626
ALABAMA,1980,HOUSE,5,Betty T. Benson,Libertarian,7341
ALABAMA,1980,HOUSE,5,,Write-in,389
ALABAMA,1980,HOUSE,6,W.B. (Pete) Clifford,Democratic,87636
ALABAMA,1980,HOUSE,6,"Albert Lee Smith, Jr.",Republican,95019
ALABAMA,1980,HOUSE,6,Richard H. Jacobson,Libertarian,3218
ALABAMA,1980,HOUSE,6,Philip Lepud,National Democratic Party of Alabama,1743
ALABAMA,1980,HOUSE,6,Charles C. Robey,Statesman,466
ALABAMA,1980,HOUSE,7,Richard C. Shelby,Democratic,122505
ALABAMA,1980,HOUSE,7,"James E. ""Jim"" Bacon",Republican,43329
ALABAMA,1980,HOUSE,7,Joe Walker,Libertarian,2132
ALABAMA,1980,HOUSE,7,Mrs. Mary Owensby,Statesman,847
ALABAMA,1980,PRESIDENT,,,,636730
ALABAMA,1980,PRESIDENT,,,,654192
ALABAMA,1980,PRESIDENT,,,,15481
ALABAMA,1980,PRESIDENT,,,,15010
ALABAMA,1980,PRESIDENT,,,,13318
ALABAMA,1980,PRESIDENT,,,,1743
ALABAMA,1980,PRESIDENT,,,,1629
ALABAMA,1980,PRESIDENT,,,,1303
ALABAMA,1980,PRESIDENT,,,,1006
ALABAMA,1980,PRESIDENT,,,,517
ALABAMA,1980,SENATE,,"Jim Folsom, Jr.",Democratic,610175
ALABAMA,1980,SENATE,,Jeremiah Denton,Republican,650362
ALABAMA,1980,SENATE,,Michael R.A. Erdey,Conservative,13589
ALABAMA,1980,SENATE,,William V. Core,Libertarian,13068
ALABAMA,1980,SENATE,,Sallie M. Hadnott,National Democratic Party of Alabama,2973
ALABAMA,1980,SENATE,,Jim Partain,Statesman,2649
ALABAMA,1980,SENATE,,Mohammed Oliver,Socialist Workers,1511
ALASKA,1982,President,,,,41842
ALASKA,1982,President,,,,86112
ALASKA,1982,President,,,,18479
ALASKA,1982,President,,,,11155
ALASKA,1982,President,,,,857
ALASKA,1982,Senate,,Clark S. Gruening,Democratic,72007
ALASKA,1982,Senate,,Frank H. Murkowski,Republican,84159
ALASKA,1982,Senate,,Write-in,Write-in,596
ALASKA,1982,House,,"Kevin ""Pat"" Parnell",Democratic,39922
ALASKA,1982,House,,Donald E. Young,Republican,114089
ALASKA,1982,House,,Write-in,Write-in,607
AMERICAN SAMOA,1980,DELEGATE,,I.S. Mulitauaopele,Democrat,1371
AMERICAN SAMOA,1980,DELEGATE,,Fofo I. F. Sunia,Independent (Democrat),3277
AMERICAN SAMOA,1980,DELEGATE,,Eni Fa'aua'a Hunkin Jr.,Independent,2851
AMERICAN SAMOA,1980,DELEGATE,,Fofo I. F. Sunia,Independent (Democrat),4141
AMERICAN SAMOA,1980,DELEGATE,,Eni Fa'aua'a Hunkin Jr.,Independent,2869
ARIZONA,1982,House,1,Steve Jancek,Democratic,40045
ARIZONA,1982,House,1,John J. Rhodes,Republican,136961
ARIZONA,1982,House,1,Gene Leitch,Libertarian,7784
ARIZONA,1982,House,1,Bob Roper,Socialist Workers,2043
ARIZONA,1982,House,2,Morris K. Udall,Democratic,127736
ARIZONA,1982,House,2,Richard H. Huff,Republican,88653
ARIZONA,1982,House,2,"William ""Bill"" Stefanov",Libertarian,3297
ARIZONA,1982,House,3,Bob Stump,Democratic,141448
ARIZONA,1982,House,3,Bob Croft,Republican,65845
ARIZONA,1982,House,3,Sharon Hayse,Libertarian,12529
ARIZONA,1982,REPRESENTATIVE,4,Les Miller,Democrat,85046
ARIZONA,1982,REPRESENTATIVE,4,Eldon Rudd,Republican,142565
ARIZONA,1982,President,,,,246843
ARIZONA,1982,President,,,,529688
ARIZONA,1982,President,,,,76952
ARIZONA,1982,President,,,,18784
ARIZONA,1982,President,,,,1100
ARIZONA,1982,President,,,,551
ARIZONA,1982,President,,,,25
ARIZONA,1982,President,,,,2
ARIZONA,1982,Senate,,Bill Schulz,Democratic,422374
ARIZONA,1982,Senate,,Barry Goldwater,Republican,432371
ARIZONA,1982,Senate,,Fred R. Esser,Libertarian,12071
ARIZONA,1982,Senate,,Josefina Otero,Socialist Workers,3266
ARIZONA,1982,Senate,,Lorenzo Torrez,People Before Profits,3598
ARIZONA,1982,Senate,,Write-in,Write-in,13
ARKANSAS,1986,House,1,Bill Alexander,Democratic,
ARKANSAS,1986,House,2,James G (Jim) Reid,Democratic,42578
ARKANSAS,1986,House,2,Ed Bethune,Republican,159148
ARKANSAS,1986,House,3,John Paul Hammerschmidt,Republican,
ARKANSAS,1986,House,4,Beryl Anthony Jr.,Democratic,
ARKANSAS,1986,Presidential,,,,398041
ARKANSAS,1986,Presidential,,,,403164
ARKANSAS,1986,Presidential,,,,22468
ARKANSAS,1986,Presidential,,,,8970
ARKANSAS,1986,Presidential,,,,2345
ARKANSAS,1986,Presidential,,,,1350
ARKANSAS,1986,Presidential,,,,1244
ARKANSAS,1986,Senate,,Dale Bumpers,Democratic,477905
ARKANSAS,1986,Senate,,Bill Clark,Republican,330576
ARKANSAS,1986,Senate,,Walter T. Mac McCarty,Write-In,331
Alabama,1990,Presidential,,,,695790
Alabama,1990,Presidential,,,,684192
Alabama,1990,Presidential,,,,16451
Alabama,1880,Presidential,,,,613175
Alabama,1980,Presidential,,,,920103
Alabama,1980,Presidential,,,,654523
Alabama,1972,Presidential,,,,63147
Alabama,1973,Presidential,,,,107544
Alabama,1974,Presidential,,,,109612
Alabama,1975,Presidential,,,,109486
Alabama,1976,Presidential,,,,107045
Alabama,1977,Presidential,,,,105642
Alabama,1978,Presidential,,,,105404
Alaska,1980,Presidential,,,,86112
Alaska,1980,Presidential,,,,41842
Arizona,1990,Presidential,,,,394445
Arizona,1990,Presidential,,,,389084
Arizona,1990,Presidential,,,,72642
Arizona,1880,Presidential,,,,40622
Arizona,1980,Presidential,,,,529688
Arizona,1980,Presidential,,,,246843
Arizona,2002,Presidential,,,,19048
Arizona,2002,Presidential,,,,19581
Arizona,2002,Presidential,,,,6343
Arizona,2002,Presidential,,,,5346
Arizona,2002,Presidential,,,,484271
Arizona,2002,Presidential,,,,442371
Arizona,2002,Presidential,,,,7754
Arizona,2002,Presidential,,,,12529
Arizona,2002,Presidential,,,,24610
Arizona,2002,Presidential,,,,2049
Arizona,2002,Presidential,,,,2049
Arizona,2002,Presidential,,,,3349
Arizona,2002,Presidential,,,,551
Arizona,2002,Presidential,,,,25
Arizona,2002,Presidential,,,,1098
Arizona,2002,Presidential,,,,31
Arizona,2002,Presidential,,,,874346
Arkansas,1990,Presidential,,,,288345
Arkansas,1990,Presidential,,,,280544
Arkansas,1990,Presidential,,,,19385
Arkansas,1880,Presidential,,,,422198
CALIFORNIA,1986,House,1,Harold T Johnson,Democratic,107682
CALIFORNIA,1986,House,1,Eugene A Chappie,Republican,145098
CALIFORNIA,1986,House,1,Jim McClarin,Libertarian,17419
CALIFORNIA,1986,Presidential,,,,3082943
CALIFORNIA,1986,Presidential,,,,4522994
CALIFORNIA,1986,Presidential,,,,739618
CALIFORNIA,1986,Presidential,,,,148390
CALIFORNIA,1986,Presidential,,,,61046
CALIFORNIA,1986,Presidential,,,,15106
CALIFORNIA,1986,Presidential,,,,9541
CALIFORNIA,1986,Senate,,Alan Cranston,Democratic,4704098
CALIFORNIA,1986,Senate,,Paul Gann,Republican,3091671
CALIFORNIA,1986,Senate,,David Bergland,Libertarian,202410
CALIFORNIA,1986,Senate,,David Wald,Peace and Freedom,196260
CALIFORNIA,1986,Senate,,James C (Jim) Griffin,American Independent,129573
COLORADO,1984,HOUSE,1,Pat Schroeder,Democratic,107364
COLORADO,1984,HOUSE,1,Naomi Bradford,Republican,67804
COLORADO,1984,HOUSE,1,John Mason,Libertarian,8888
COLORADO,1984,HOUSE,1,Harold Sudmeyer,Socialist Workers,566
COLORADO,1984,HOUSE,2,Timothy E. Wirth,Democratic,153550
COLORADO,1984,HOUSE,2,John McElderry,Republican,111868
COLORADO,1984,HOUSE,2,Paul K. Grant,Libertarian,4633
COLORADO,1984,HOUSE,2,Robert Bruce McFarland,Citizens,2219
COLORADO,1984,HOUSE,3,Ray Kogovsek,Democratic,105820
COLORADO,1984,HOUSE,3,"Harold L. ""Mack"" McCormick",Republican,84292
COLORADO,1984,HOUSE,3,James S. Glennie,Libertarian,2670
COLORADO,1984,HOUSE,4,Polly Baca Barragan,Democratic,76849
COLORADO,1984,HOUSE,4,Hank Brown,Republican,178221
COLORADO,1984,HOUSE,4,Cynthia Molson-Smith,Libertarian,5421
COLORADO,1984,HOUSE,5,Ed Schreiber,Democratic,62003
COLORADO,1984,HOUSE,5,Ken Kramer,Republican,177319
COLORADO,1984,HOUSE,5,John A. Lanning,Libertarian,5578
COLORADO,1984,PRESIDENT,,,,368009
COLORADO,1984,PRESIDENT,,,,652264
COLORADO,1984,PRESIDENT,,,,130633
COLORADO,1984,PRESIDENT,,,,25144
COLORADO,1984,PRESIDENT,,,,5614
COLORADO,1984,PRESIDENT,,,,1190
COLORADO,1984,PRESIDENT,,,,519
COLORADO,1984,PRESIDENT,,,,487
COLORADO,1984,SENATE,,Gary Hart,Democratic,590501
COLORADO,1984,SENATE,,Mary Estill Buchanan,Republican,571295
COLORADO,1984,SENATE,,Earl Higgerson,Statesman,7285
COLORADO,1984,SENATE,,Henry John Olshaw,Unaffiliated-American,4081
California,1980,Representative,10,Don Edwards,Democrat,102231
California,1980,Representative,10,John M. Lutton,Republican,45987
California,1980,Representative,10,Joseph Fuhrig,Libertarian,11904
California,1980,Representative,10,Edmon V. Kaiser,American Independent,4421
California,1980,Representative,11,Tom Lantos,Democrat,85822
California,1980,Representative,11,Bill Royer,Republican,80100
California,1980,Representative,11,Wilson Branch,Peace and Freedom,13722
California,1980,Representative,11,William S. Wade Jr.,Libertarian,3816
California,1980,Representative,11,Nicholas W. Kudrovzeff,American Independent,1550
California,1980,Representative,12,Kirsten Olsen,Democrat,37009
California,1980,Representative,12,"Paul N. ""Pete"" McCloskey Jr.",Republican,143817
California,1980,Representative,12,Bill Evers,Libertarian,15073
California,1980,Representative,12,Adele Fumino,Peace and Freedom,3184
California,1980,Representative,13,Norman Y. Mineta,Democrat,132246
California,1980,Representative,13,W.E. (Ted) Gagne,Republican,79766
California,1980,Representative,13,Ray Strong,Libertarian,8806
California,1980,Representative,13,Robert Goldsborough,Peace and Freedom,3791
California,1980,Representative,14,Ann Cerney,Democrat,79888
California,1980,Representative,14,Norman D. Shumway,Republican,133979
California,1980,Representative,14,Douglas G. Housley,Libertarian,6717
California,1980,Representative,15,Tony Coelho,Democrat,108072
California,1980,Representative,15,Ron Schwartz,Republican,37895
California,1980,Representative,15,Michael L. Pullen,Libertarian,4524
California,1980,Representative,16,Leon E. Panetta,Democrat,158360
California,1980,Representative,16,W.A. Jack Roth,Republican,54675
California,1980,Representative,16,Kenton H. Bowers,Libertarian,6802
California,1980,Representative,16,Jeff Mauro,American Independent,3198
California,1980,Representative,17,"Willard H. ""Bill"" Johnson",Democrat,53780
California,1980,Representative,17,"Charles ""Chip"" Pashayan Jr.",Republican,129159
California,1980,Representative,18,"Mary ""Pat"" Timmermans",Democrat,51415
California,1980,Representative,18,William M. Thomas,Republican,126046
California,1982,House,19,Carmen Lodise,Democrat,36990
California,1982,House,19,Robert J. Lagomarsino,Republican,162849
California,1982,House,19,Jim Trottier,Libertarian,9764
California,1980,Representative,2,Norma K. Bork,Democrat,109789
California,1980,Representative,2,Don H. Clausen,Republican,141698
California,1980,Representative,2,Daniel Mosier,Libertarian,6833
California,1980,Representative,2,Linda D. Wren,Peace and Freedom,3354
California,1982,House,20,Matt Miller,Democrat,43024
California,1982,House,20,Barry Goldwater Jr.,Republican,199674
California,1982,House,20,Christopher R. Darwin,Libertarian,10605
California,1982,House,21,James C. Corman,Democrat,73898
California,1982,House,21,Bobbi Fiedler,Republican,74674
California,1982,House,21,George J. Lehmann,Libertarian,2790
California,1982,House,21,Jan B. Tucker,Peace and Freedom,2038
California,1982,House,22,Pierce O'Donnell,Democrat,57477
California,1982,House,22,Carlos J. Moorhead,Republican,115241
California,1982,House,22,William V. Susel,Libertarian,7705
California,1982,House,23,Anthony C. Beilenson,Democrat,126020
California,1982,House,23,Robert (Bob) Winckler,Republican,62742
California,1982,House,23,Jeffrey P. Lieb,Libertarian,10823
California,1982,House,24,Henry A. Waxman,Democrat,93569
California,1982,House,24,Roland Cayard,Republican,39744
California,1982,House,24,Maggie Feigin,Peace and Freedom,5905
California,1982,House,24,Robert E. Lehman,Libertarian,5472
California,1982,House,24,Jack Smilowitz,American Independent,2341
California,1982,House,25,Edward R. Roybal,Democrat,48089
California,1982,House,25,Richard F. Ferraro Jr.,Republican,21116
California,1982,House,25,William D. Mitchell,Libertarian,2159
California,1982,House,26,Joseph Louis Lisoni,Democrat,40099
California,1982,House,26,John H. Rousselot,Republican,118715
California,1982,House,26,William J. (BJ) Wegener,Libertarian,7700
California,1982,House,27,Carey Peck,Democrat,100061
California,1982,House,27,Robert K. Dornan,Republican,109307
California,1982,House,27,"Jerome L. ""Jerry"" Sievers",Libertarian,5448
California,1982,House,28,Julian C. Dixon,Democrat,108725
California,1982,House,28,Robert Reid,Republican,23179
California,1982,House,28,Ernst F. Ghermann,Libertarian,5400
California,1982,House,29,Augustus F. (Gus) Hawkins,Democrat,80935
California,1982,House,29,Michael Arthur Hirt,Republican,10282
California,1982,House,29,Earl Smith,Libertarian,2622
California,1980,Representative,3,Robert T. Matsui,Democrat,170670
California,1980,Representative,3,Joseph Murphy,Republican,64215
California,1980,Representative,3,Bruce A. Daniel,Libertarian,6380
California,1982,House,30,George E. Danielson,Democrat,74119
California,1982,House,30,"J. Arthur ""Art"" Flatten",Republican,24136
California,1982,House,30,Bruce M. Hobbs,Libertarian,4480
California,1982,House,31,Mervyn M. Dymally,Democrat,69146
California,1982,House,31,Don Grimshaw,Republican,38203
California,1982,House,32,Glenn M. Anderson,Democrat,84057
California,1982,House,32,John R. Adler,Republican,39250
California,1982,House,32,Thomas A. Cosgrove,Libertarian,5298
California,1982,House,33,Fred I. Anderson,Democrat,50365
California,1982,House,33,Wayne Grisham,Republican,122439
California,1982,House,34,Simone,Democrat,46351
California,1982,House,34,Dan Lungren,Republican,138024
California,1982,House,34,John S. Donohue,Peace and Freedom,7794
California,1982,House,35,Jim Lloyd,Democrat,88279
California,1982,House,35,Dave Dreier,Republican,100743
California,1982,House,35,"James Michael ""Mike"" Noonan",Peace and Freedom,5492
California,1982,House,36,George E. Brown Jr.,Democrat,88628
California,1982,House,36,John Paul Stark,Republican,73247
California,1982,House,36,Harry J. Histen,Libertarian,6815
California,1982,House,37,"Donald M. ""Don"" Rusk",Democrat,58091
California,1982,House,37,Jerry Lewis,Republican,165371
California,1982,House,37,Larry Morris,Libertarian,7615
California,1982,House,38,Jerry M. Patterson,Democrat,91880
California,1982,House,38,Art Jacobson,Republican,66256
California,1982,House,38,"Charles E. ""Chuck"" Heiser",Libertarian,7301
California,1982,House,39,Leonard L. Lahtinen,Democrat,54504
California,1982,House,39,William E. (Bill) Dannemeyer,Republican,175228
California,1980,Representative,4,Vic Fazio,Democrat,133853
California,1980,Representative,4,Albert Dehr,Republican,60935
California,1980,Representative,4,Robert J. Burnside,Libertarian,10267
California,1982,House,40,Michael F. Dow,Democrat,66512
California,1982,House,40,Robert E. Badham,Republican,213993
California,1982,House,40,Dan Mahaffey,Libertarian,24486
California,1982,House,41,Bob Wilson,Democrat,101101
California,1982,House,41,Bill Lowery,Republican,123187
California,1982,House,41,Joseph D. Alldredge,Libertarian,9630
California,1982,House,42,Lionel Van Deerlin,Democrat,69936
California,1982,House,42,Duncan L. Hunter,Republican,79713
California,1982,House,43,Tom Metzger,Democrat,46361
California,1982,House,43,Clair W. Burgener,Republican,298815
California,1980,Representative,5,John L. Burton,Democrat,101105
California,1980,Representative,5,Dennis McQuaid,Republican,89624
California,1980,Representative,5,Dan P. Dougherty,Libertarian,7092
California,1980,Representative,6,Phillip Burton,Democrat,93400
California,1980,Representative,6,Tom Spinosa,Republican,34500
California,1980,Representative,6,Roy Childs,Libertarian,6750
California,1980,Representative,7,George Miller,Democrat,142044
California,1980,Representative,7,Giles St. Clair,Republican,70479
California,1980,Representative,7,Steve Snow,Libertarian,6923
California,1980,Representative,7,Thomas J. (Tommy) Thompson,American Independent,5023
California,1980,Representative,8,Ronald V. Dellums,Democrat,108380
California,1980,Representative,8,Charles V. Hughes,Republican,76580
California,1980,Representative,8,Tod Mikuriya,Libertarian,10465
California,1980,Representative,9,Fortney H. (Pete) Stark,Democrat,90504
California,1980,Representative,9,William J. (Bill) Kennedy,Republican,67265
California,1980,Representative,9,Steven W. Clanin,Libertarian,5823
California,1880,Presidential,,,,164004
California,1980,Presidential,,,,4524858
California,1980,Presidential,,,,3083661
California,1982,Senate,,,,4704998
California,1982,Senate,,,,3901671
California,1982,Presidential,,,,3982943
California,1982,Presidential,,,,4522994
Colorado,1990,Presidential,,,,367152
Colorado,1990,Presidential,,,,362240
Colorado,1990,Presidential,,,,170385
Colorado,1880,Presidential,,,,51591
Colorado,1980,Presidential,,,,652695
Colorado,1980,Presidential,,,,367973
Colorado,2020,Presidential,,,,107264
Colorado,2020,Presidential,,,,179347
Colorado,2020,Presidential,,,,192647
Colorado,2020,Presidential,,,,158921
Colorado,2020,Presidential,,,,1804663
Colorado,2020,Presidential,,,,1364607
Colorado,2020,Presidential,,,,25744
Colorado,2020,Presidential,,,,52219
Colorado,2020,Presidential,,,,566
Colorado,2020,Presidential,,,,2208
Colorado,2020,Presidential,,,,867
Colorado,2020,Presidential,,,,4181
Colorado,2020,Presidential,,,,1154460
Congress,Years,Senate_Democrats,Senate_Republicans,Senate_Other,House_Democrats,House_Republicans
Connecticut,1972,House,1,William R. Cotter,Democratic,137849
Connecticut,1972,House,1,Marjorie D. Anderson,Republican,80816
Connecticut,1972,House,2,Samuel Gejdenson,Democratic,119176
Connecticut,1972,House,2,Tony Guglielmo,Republican,104197
