STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alabama,1920,Presidential,,Democratic,Democratic,159965
Alabama,1920,Presidential,,Republican,Republican,74556
Alabama,1920,Presidential,,Socialist,Socialist,2369
Alabama,1920,Presidential,,Prohibitionist,Prohibitionist,748
Alabama,1920,Senate,,Oscar W. Underwood,Democratic,154664
Alabama,1920,Senate,,L. H. Reynolds,Republican,77337
Alabama,1920,Senate,,A. M. Foreman,Socialist,1984
Alabama,1920,Senate,,J. Thomas Heflin,Democratic,160680
Alabama,1920,Senate,,G. T. Lunsford,Republican,68460
Alabama,1920,Senate,,W. H. Chichester,Socialist,2520
Alabama,1920,House,1,John McDuffie,Democratic,12978
Alabama,1920,House,1,C. H. Hutchinson,Socialist,165
Alabama,1920,House,2,Almon R. Johnson,Democratic,18460
Alabama,1920,House,2,Ed. J. Green,Socialist,66
Alabama,1920,House,3,Henry B. Steagall,Democratic,12750
Alabama,1920,House,3,Dallas B. Smith,Republican,2582
Alabama,1920,House,4,Fred L. Blackmon,Democratic,12286
Alabama,1920,House,4,M. B. Liveakmore,Republican,8305
Alabama,1920,House,5,William B. Bowling,Democratic,13290
Alabama,1920,House,5,W. M. Russell,Republican,4793
Alabama,1920,House,6,W. B. Oliver,Democratic,8721
Alabama,1920,House,7,Lilius P. Rainey,Democratic,23709
Alabama,1920,House,7,Chas B. Kennemer,Republican,22970
Alabama,1920,House,7,J. O. Meadows,Socialist,233
Alabama,1920,House,8,Edward B. Almon,Democratic,17640
Alabama,1920,House,8,W. E. Hotchkiss,Republican,5306
Alabama,1920,House,8,Fred L. Gentry,Socialist,143
Alabama,1920,House,9,George Huddleston,Democratic,26776
Alabama,1920,House,9,Alex. C. Birch,Republican,4452
Alabama,1920,House,9,Cox,Socialist,124
Alabama,1920,House,10,William B. Bankhead,Democratic,15485
Alabama,1920,House,10,William L. Chenault,Republican,13737
Alabama,1920,House,10,C. H. Walker,Socialist,137
Arizona,1920,Presidential,,Republican,Republican,37016
Arizona,1920,Presidential,,Democratic,Democratic,29584
Arizona,1920,Senate,,Ralph H. Cameron,Republican,35893
Arizona,1920,Senate,,Marcus A. Smith,Democratic,29169
Arizona,1920,House,,Carl Hayden,Democratic,35397
Arizona,1920,House,,James A. Dunseath,Republican,25841
Arkansas,1920,Presidential,,Democratic,Democratic,107409
Arkansas,1920,Presidential,,Republican,Republican,71117
Arkansas,1920,Presidential,,Socialist,Socialist,6111
Arkansas,1920,Senate,,Thaddeus H. Caraway,Democratic,126477
Arkansas,1920,Senate,,Charles F. Cole,Republican,65831
Arkansas,1920,House,1,William J. Driver,Democratic,19843
Arkansas,1920,House,1,H. M. Mayes,Republican,7110
Arkansas,1920,House,2,William A. Oldfield,Democratic,16089
Arkansas,1920,House,2,Thad Rowden,Republican,8137
Arkansas,1920,House,3,John N. Tillman,Democratic,14341
Arkansas,1920,House,3,Lura D. Washington,Republican,12587
Arkansas,1920,House,4,Otis Wingo,Democratic,19722
Arkansas,1920,House,4,W. H. Dunblazier,Republican,11031
Arkansas,1920,House,5,Hence M. Jacoway,Democratic,21165
Arkansas,1920,House,5,George A.McConnell,Republican,8045
Arkansas,1920,House,6,Sam M. Taylor,Democratic,18028
Arkansas,1920,House,6,W. E. Day,Republican,7956
Arkansas,1920,House,7,Tilman B. Parks,Democratic,18303
Arkansas,1920,House,7,J. C. Russell,Republican,7064
California,1920,Presidential,,Republican,Republican,624992
California,1920,Presidential,,Democratic,Democratic,229191
California,1920,Presidential,,Prohibitionist,Prohibitionist,25085
California,1920,Presidential,,Socialist,Socialist,64076
California,1920,Senate,,Samuel M. Shortridge,Republican,447835
California,1920,Senate,,James D. Phelan,Democratic,371580
California,1920,Senate,,Elvina S. Beals,Socialist,56545
California,1920,Senate,,James S. Edwards,Prohibitionist,57763
California,1920,House,1,Clarence F. Lea,Democratic,34427
California,1920,House,1,J. A. McGeachy Jr.,Republican,18569
California,1920,House,1,A. K. Gifford,Socialist,2778
California,1920,House,2,John E. Baker,Democratic,26172
California,1920,House,3,Charles F. Curry,Republican,54984
California,1920,House,3,J. W. Stinckenbruck,Democratic,14964
California,1920,House,3,Miles Willian Beck,Socialist,3531
California,1920,House,4,Julius Kahn,Republican,50841
California,1920,House,4,Milton Harlan,Socialist,9289
California,1920,House,5,John I. Nolan,Republican,50274
California,1920,House,5,Thomas Conway,Socialist,10952
California,1920,House,6,John A. Elston,Republican,75616
California,1920,House,6,Leonard Shipley,Socialist,15151
California,1920,House,7,Henry E. Barbour,Republican,57647
California,1920,House,7,Harry M. McKee,Socialist,8449
California,1920,House,8,Arthur M. Free,Republican,46823
California,1920,House,8,Hugh S. Hersman,Democratic,26311
California,1920,House,9,Chas F.Van DeWater,Republican,62952
California,1920,House,9,Mary E. Garbutt,Socialist,5819
California,1920,House,9,C. H. Randall,Prohibitionist,36675
California,1920,House,10,Henry Z. Osborne,Republican,97469
California,1920,House,10,Upton Sinclair,Socialist,20439
California,1920,House,11,Philip D. Swing,Republican,59425
California,1920,House,11,Hugh L. Dickson,Democratic,22144
Colorado,1920,Presidential,,Republican,Republican,173248
Colorado,1920,Presidential,,Democratic,Democratic,104936
Colorado,1920,Presidential,,Prohibitionist,Prohibitionist,2807
Colorado,1920,Presidential,,Farmer-Labor,Farmer-Labor,8016
Colorado,1920,Presidential,,Socialist,Socialist,8046
Colorado,1920,Senate,,Samuel D. Nicholson,Republican,156577
